image_name,label,contrast_angle_0,contrast_angle_1,contrast_angle_2,contrast_angle_3,dissimilarity_angle_0,dissimilarity_angle_1,dissimilarity_angle_2,dissimilarity_angle_3,homogeneity_angle_0,homogeneity_angle_1,homogeneity_angle_2,homogeneity_angle_3,energy_angle_0,energy_angle_1,energy_angle_2,energy_angle_3,correlation_angle_0,correlation_angle_1,correlation_angle_2,correlation_angle_3
Stem and Rot_354.jpg,Stem and Rot,119.00352338245743,236.68841118863384,149.3595451633693,241.040921796128,5.334160794363123,7.162138792254485,5.7805493273549,7.379677853968981,0.3922003455845099,0.3698190877969578,0.38919175402115924,0.36883925674764134,0.2568336769199017,0.2513709085806541,0.2556671932988615,0.2515239963879922,0.9895868139561186,0.9792312883045611,0.986923414428902,0.978849368304751
Stem and Rot_355.jpg,Stem and Rot,117.84457078796476,209.31528886565326,124.2391095451724,215.71417080576822,5.047125240231083,6.55255484727259,4.943545803972225,6.348730117235841,0.39780578059501115,0.37568461798731495,0.40339106033698463,0.3851581187393678,0.25803700350872366,0.2528809601178431,0.2581545886887687,0.2529051195419777,0.9766791031170865,0.9583813313671846,0.975413653398244,0.9571090260877668
Stem and Rot_356.jpg,Stem and Rot,161.13973414478903,211.92953809647744,111.23038116592701,257.0430533491481,4.786074631646769,5.4953045506649305,4.461242793081739,6.148042389752877,0.40655514706115753,0.3901823337478822,0.4083592628250222,0.3832207766978282,0.2470411310908619,0.24442467313107105,0.2490152609082416,0.2430988818157599,0.9862027534727354,0.9817821352267614,0.9904873703948253,0.9779040919502133
Stem and Rot_357.jpg,Stem and Rot,132.92893177451748,245.85537613866984,138.35918481744224,230.11293209193693,5.0699471492639425,6.6393854692439405,5.0233023702762525,6.48619517786466,0.4209616705989775,0.39965804454478804,0.42309172484448104,0.4021417510730191,0.28906711192745765,0.2837158909485347,0.2889544011978515,0.28430039071723845,0.9863801734252097,0.9747949755335454,0.9858237926304932,0.9764088864985643
Stem and Rot_358.jpg,Stem and Rot,128.48350416400848,244.0317319873726,146.3218689942483,236.70852017937113,4.438340807175358,5.906734500995878,4.627962844331086,5.770154235959344,0.4112455791597165,0.38960385390330593,0.4126595862413544,0.3926996504363946,0.2530358530069727,0.24742462973097834,0.2513194939661933,0.24779078808195407,0.9829942549662024,0.9676255381294004,0.9806174018009789,0.9685970717882312
Stem and Rot_359.jpg,Stem and Rot,35.489389814223095,128.5493172997657,120.2462163677215,144.52188863640706,3.2383488148623774,4.738703774457862,4.633187860346341,5.132437812946505,0.36919111514847286,0.3390484540752533,0.3408782497764103,0.3301787130707634,0.13987699478405738,0.13454953196469346,0.13502338509276995,0.133508131241069,0.9961231594012796,0.9858178788152603,0.9867651317166111,0.9840557151018743
Stem and Rot_360.jpg,Stem and Rot,114.59569186419719,191.13127149148193,102.41261611147422,184.57626334734155,4.825312299808283,6.084960485833649,4.770359545163794,6.249291158077191,0.41230249182096845,0.39266861059243724,0.4128469894369953,0.3907301659906309,0.2781601012609803,0.27410874140270786,0.27890461390123633,0.27340035337400537,0.9782849842778085,0.9636812977056112,0.9805956127591352,0.9649268782297501
Stem and Rot_361.jpg,Stem and Rot,104.85105701474072,190.70099941683762,96.23818866112005,162.20181383096173,4.842488789238076,6.208851977719582,4.6198750800772475,6.011100162883152,0.4016598788311458,0.38589727397563983,0.40820585678435173,0.38448906676300343,0.259469894662169,0.2540020126798596,0.25964907344196475,0.25458177753953837,0.9828507514715421,0.9687093647544497,0.9842594565828184,0.9733855731838321
Stem and Rot_362.jpg,Stem and Rot,95.83554212044208,116.57905849705357,87.64972373479182,197.34372297853952,4.343589846252828,5.016268173500647,4.096953074952308,5.503669890808503,0.4079751586185167,0.3934420663219232,0.4175575453157873,0.3999735661195225,0.25284098664443044,0.24972498199944346,0.2545651028500305,0.25109863054972315,0.9907448580515003,0.9887290474594035,0.9915392299775647,0.9809206579247384
Stem and Rot_363.jpg,Stem and Rot,71.24663677130529,141.99018681252463,70.27378283152149,89.34239578515499,4.3527786675211635,5.425083955036586,4.354460281870769,5.063926481530105,0.30409700017980185,0.28682313629090617,0.30178389667702027,0.2819789869255729,0.09410195950313514,0.09198268796394919,0.09301189685152011,0.09087246569701198,0.9913385004123224,0.9826980067715442,0.9914604966693894,0.9891133214091052
Stem and Rot_364.jpg,Stem and Rot,152.29075912877838,196.04051961631959,115.68059336964636,276.60932252810335,4.784593209481689,5.724486718012146,4.4344770980146215,6.241086689859647,0.43509102036262054,0.4198092866650807,0.43834179207793644,0.41369200846082355,0.2933301970540863,0.28906816964985665,0.2938530978822487,0.28817691499772174,0.9815114222921583,0.9761845629355681,0.9859551049942908,0.9663968860876424
Stem and Rot_365.jpg,Stem and Rot,135.68253523383675,242.8234430613946,132.28505365151835,229.33071246154103,4.959561178732107,6.414788151783241,4.772881966688518,6.1279535080139205,0.37141675941922064,0.34853860086743343,0.3765277640736891,0.3515350014995199,0.20974194881484642,0.20400852312036233,0.207837653593871,0.2047598768531939,0.9824116742838322,0.9683383683017825,0.9828163116378913,0.97009767894111
Stem and Rot_366.jpg,Stem and Rot,139.36557094812363,280.27229584346816,167.6076633568396,253.10263628868313,5.780809577194812,7.756258923365351,6.040118513773937,7.437209676446956,0.35553429358101407,0.3331084273447452,0.3538170351583738,0.33236382029516137,0.22210634185535436,0.2176021297064344,0.2214459925021682,0.21778171716142863,0.9835392497195306,0.96681922865214,0.9802113101991324,0.9700357801081909
Stem and Rot_367.jpg,Stem and Rot,164.76765695069307,240.17293732027545,128.11326873800311,272.4445293490673,5.990390775145088,7.470932453900868,5.554332158873375,7.46666934786613,0.38674574046121607,0.3676367385336112,0.3903615571388042,0.3712677123960103,0.2597016676083533,0.2557842061270919,0.26064777869173283,0.2550689863578696,0.9801220603065315,0.9710272229300243,0.9845566295574717,0.9671342046242383
Stem and Rot_368.jpg,Stem and Rot,104.71142296605714,207.18114178849592,127.52450352339521,203.38303605542066,5.076213164638624,6.721892658208078,5.125120115311313,6.671781053309411,0.43036692782919744,0.4098381195262264,0.4327605719389529,0.4082531633963024,0.31300904148900405,0.3083246737630011,0.31233595035887013,0.3076779939629674,0.9820419115195216,0.9644066743380959,0.9781285770287609,0.9650591816709895
