Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
healthy_003.jpg,Healthy,26.637572069186422,40.33742886444529,17.876601537475977,38.90659373806029,0.7795934210376338,0.7599906461219778,0.7820785469645408,0.7601600295988794,1.4280509288917362,1.8542098172092745,1.2606902626521463,1.8076776126606209,2.726121462942529,2.8103723519840766,2.705284281104157,2.802999441949235,0.4882774018150315,0.4849590970597082,0.4891753199904069,0.4851576127379848,0.6987684894262416,0.6963900466403208,0.6994106947926997,0.6965325640183557,0.9951522239966054,0.9926786870428335,0.996746634425595,0.992938386087747
healthy_004.jpg,Healthy,34.553811659192824,60.545758008405556,24.949631646380524,44.66604999095096,0.7626590953841109,0.7434083084923462,0.7669804564150505,0.742759191271424,1.6229580397181294,2.1021134549256972,1.4079916720051249,2.0059924792374675,3.0205576778596344,3.1088262748913955,3.0031268449702324,3.114131841861406,0.45640089069106615,0.45297647294870386,0.45740135506062757,0.4535711020602101,0.6755744893726126,0.6730352687257213,0.6763145385548263,0.6734768756685043,0.9957786346931686,0.9926219383462671,0.9969519568350649,0.9945570279157097
healthy_006.jpg,Healthy,67.49499519538759,84.58332160308875,30.070787956438185,89.5796416577852,0.6941095998651062,0.6633945254074908,0.7257125100051018,0.6726569286876929,2.012251761691224,2.4617426451366407,1.4409833440102502,2.3906774718976855,4.181704582913996,4.304109939980477,4.076775725948981,4.27894607482985,0.2847988645493011,0.2815497608896479,0.2865056389832512,0.2817296922599663,0.5336654987436429,0.530612627902548,0.5352622151649145,0.530782151414275,0.9866412293447997,0.9832837864926199,0.9940483178261095,0.9822963630715181
healthy_007.jpg,Healthy,68.96656790518898,97.28504494359429,52.19150384368995,91.99983912807416,0.7250944620341142,0.7156607913389017,0.73193475626623,0.7163541034637976,3.152866752081999,3.7170665004323435,2.692224535554132,3.63763598704981,3.2303062435023455,3.284993495763523,3.188518248234387,3.28407095441316,0.4635764062680183,0.46026014073961896,0.4646177609092174,0.4608052935818002,0.6808644551362762,0.6784247495040396,0.6816287559289275,0.6788264090191248,0.9877878299636115,0.982817604244124,0.990758253763328,0.9837510724665642
healthy_008.jpg,Healthy,109.56448190262651,198.48100705825573,82.15232623318386,156.28969012045286,0.5461848327036167,0.4718113978212152,0.5469091873553065,0.47432397915852426,3.2940622998078153,4.616742745681594,2.996937059577194,4.260170122061574,6.325076583471319,6.578161396092693,6.273164050906328,6.553051376760413,0.05675080444298916,0.054306126088314914,0.056902983686889064,0.054723851156798585,0.2382242734126587,0.2330367483645335,0.23854346288860875,0.2339312958045558,0.9906775058144163,0.9830120547039742,0.9930100267699783,0.9866232001467031
healthy_010.jpg,Healthy,63.32655349135169,96.06969776186932,38.61839365791158,80.37032717327918,0.668486935221485,0.6249305485180936,0.6805451987473731,0.6359707637233213,2.0780749519538757,2.691548191196284,1.7142456758488147,2.4821331617366122,4.545109372860036,4.704079533088453,4.488617670673547,4.6696963339223405,0.2292670967331713,0.22574246097615086,0.23033979612740837,0.22635042039660955,0.47881843817168457,0.47512362704474176,0.4799372835354723,0.47576298762788344,0.9884034444546483,0.982421138589132,0.9929280795742754,0.985293814013788
healthy_011.jpg,Healthy,173.98350416399742,242.54030847191777,124.53433295964126,250.45910836735104,0.38961020513254174,0.36704401369338724,0.40357152198953655,0.3671550191766497,7.318705957719412,8.786683826338756,6.196048206278028,8.754589877134066,6.704049584317323,6.839928287525733,6.595838461279913,6.831685665110956,0.07989009455483417,0.07765068088331317,0.08061922381104054,0.07785441356060242,0.2826483584860067,0.27865871757996946,0.2839352458062235,0.27902403760357714,0.9696392771001899,0.957497214502567,0.9782714082677445,0.9561095232958013
healthy_012.jpg,Healthy,25.25648622677771,34.8808542299262,18.70123318385651,41.31653562307707,0.78115446393809,0.7495243878526547,0.8081411739169642,0.7485402124741432,1.1751281229980783,1.439280902491504,0.9811018577834721,1.5358040579943293,3.4321757113089078,3.5466332643086522,3.373573923692506,3.5593739714113983,0.32471019432017995,0.3217843511001135,0.3260618053677464,0.3211423233800914,0.5698334794658699,0.5672603909141846,0.5710182180699197,0.5666942062348013,0.9878312138768685,0.9832207497832148,0.9909895895727616,0.9801248993289982
healthy_013.jpg,Healthy,55.41812139654067,107.42826117557158,73.44758968609865,128.50610307868646,0.612883211068729,0.5464115091720688,0.6028176912943825,0.5278814764361496,2.2862347853939786,3.2291419493655606,2.4778987828315184,3.540147599991956,5.530180800451639,5.771331980082731,5.570978615716002,5.824915223560405,0.09562312687733077,0.09259267455270656,0.09567820357382932,0.09219927930475491,0.30922989324664385,0.30429044439927216,0.30931893503927194,0.3036433422697671,0.9904412361081232,0.9814041605509224,0.9873314332831087,0.9777555846578176
healthy_014.jpg,Healthy,114.11895419602818,157.72476824388184,61.932675368353614,150.2879004202779,0.6722279998052842,0.6442639375729359,0.6814826305981276,0.628120613327427,2.5136931454196025,3.0786261537533433,1.9497317424727738,3.120613726397072,4.516102341724936,4.629982441870252,4.452924148773965,4.664671850739429,0.24596316900483264,0.24261914202256096,0.24692030522427727,0.24260115517350597,0.4959467400889259,0.4925638456307578,0.49691076183181754,0.492545586898823,0.9858446913068389,0.9804677411726581,0.992317876320562,0.9813887051329332
healthy_015.jpg,Healthy,83.29370195387574,197.64867582296046,112.78219090326715,160.74960284743307,0.5987521454363275,0.5132940724393453,0.5801178026717337,0.5281837595865793,2.719750960922486,4.310382271913772,3.007967648942986,3.821975105069476,5.866742294577737,6.164634423255494,5.903835875292378,6.109737931054166,0.08806978983135795,0.08473390859194427,0.0877455135196926,0.08527404924928181,0.2967655469075849,0.2910908940381754,0.2962186920497972,0.2920172071116389,0.9915956315898168,0.9799822653336685,0.9886188272027294,0.9837193804404718
